#{"t_start": 1656016377.549768, "env_id": "BipedalWalker-v3"}
r,l,t
-115.025057,85,8.789731
-102.962808,126,8.906388
-122.067061,76,8.976092
-106.626999,63,9.034713
-102.260084,76,9.104082
-105.742393,62,9.169452
-106.183116,1600,13.274253
-99.483917,90,13.44674
-130.571218,131,13.638105
-125.145552,123,13.847878
-110.463542,98,14.088962
-108.760112,36,14.132837
-114.621105,55,14.216556
-125.473609,216,14.551895
-110.307021,59,14.649049
-180.835502,942,16.422509
-115.797633,81,16.517623
-117.997393,82,16.633471
-116.794724,59,16.738883
-102.800235,74,18.199494
-112.847146,60,18.305031
-117.068902,1600,20.081823
-101.427587,55,20.146842
-118.645118,65,20.219337
-108.297742,63,20.306594
-111.562493,49,20.370127
-100.855935,68,20.478785
-120.786078,86,21.902246
-113.159875,1600,24.033971
-95.518849,1600,27.389769
-182.674747,757,28.323673
-106.502771,87,28.425816
-96.9532,1600,32.167971
-106.793032,74,32.278456
-98.059246,1600,37.14272
-99.896677,1600,41.459469
-93.278994,1600,45.050659
-88.805983,1600,46.723107
-87.406982,1600,49.968033
-83.945131,1600,53.535929
-81.386742,1600,56.507363
-86.330048,1600,59.598283
-73.714974,1600,61.419985
-80.024549,1600,64.45241
-78.664536,1600,67.018746
-76.115747,1600,69.571842
-66.602417,1600,71.080098
-74.42376,1600,74.097452
-65.931394,1600,76.661975
-62.138812,1600,79.284363
-63.173049,1600,82.061591
-71.745641,1600,83.603621
-63.201842,1600,86.916496
-53.46651,1600,89.641049
-58.626021,1600,92.260355
-42.536592,1600,93.733818
-27.446851,1600,96.344223
-19.542387,1600,98.790359
-23.007388,1600,101.443329
-18.84555,1600,103.885628
-24.786046,1600,105.46829
-10.643025,1600,107.978838
1.4503,1600,110.585218
